2015.04.03-2015.06.02线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普流控,2738.6,2002.1,736.5
M6000-迪普防火墙,2490.8,781.6,1709.2
菁园-校园核心,1418.9,390.7,1028.2
M6000-教育网NAT,507.8,43.5,464.3
西苑-校园核心,333.9,134.4,199.5
嘉园-校园核心,355.3,193.7,161.6
德园-校园核心,271.5,97.3,174.2
西苑核心-西苑北院,144.7,86.9,57.8
工科-校园核心,132.6,48.6,84
周山-校园核心,12,4.5,7.5
2015.05.02-2015.07.01线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普流控,2723.9,1982.6,741.3
M6000-迪普防火墙,2666.2,796.4,1869.8
菁园-校园核心,6062444.7,3031260.1,3031184.6
嘉园-校园核心,355.3,193.7,161.6
M6000-教育网NAT,323.2,34.7,288.5
西苑-校园核心,302.6,120.3,182.3
德园-校园核心,282.2,98.2,184
西苑核心-西苑北院,129.5,50.2,79.3
工科-校园核心,124.3,46.9,77.4
周山-校园核心,48.2,17.4,30.8
景华-校园核心,40.6,17.2,23.4
公教-校园核心,29.8,13.1,16.7
2015.08.05-2015.10.04线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普防火墙,2048.3,654.2,1394.1
M6000-迪普流控,1863.8,1292.2,571.6
菁园-校园核心,867.8,295.5,572.3
德园-校园核心,352.7,112.7,240
西苑-校园核心,255.3,107,148.3
嘉园-校园核心,210.1,93.3,116.8
M6000-教育网NAT,160.5,25.1,135.4
西苑核心-西苑北院,141,57.8,83.2
工科-校园核心,108.5,43.7,64.8
周山-校园核心,85.1,31.6,53.5
景华-校园核心,84.4,33.5,50.9
公教-校园核心,18.1,7.5,10.6
2015.09.01-2015.10.31线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普防火墙,2830.2,878.3,1951.9
M6000-迪普流控,2637.9,1832.4,805.5
菁园-校园核心,1315.7,439.7,876
德园-校园核心,325.9,104.4,221.5
西苑-校园核心,286,125.9,160.1
嘉园-校园核心,273.7,130.7,143
西苑核心-西苑北院,156.3,67.6,88.7
M6000-教育网NAT,127.9,27.3,100.6
工科-校园核心,118.2,49.3,68.9
周山-校园核心,87.6,33.1,54.5
景华-校园核心,83.3,33.5,49.8
公教-校园核心,27.8,11.3,16.5
2015.10.01-2015.11.30线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普防火墙,3190.2,982.2,2208
M6000-迪普流控,2959.9,2042.8,917.1
菁园-校园核心,1505.8,498.7,1007.1
嘉园-校园核心,609.8,251.5,358.3
西苑-校园核心,371.6,164.9,206.7
德园-校园核心,320.8,96.4,224.4
西苑核心-西苑北院,179.3,79.6,99.7
工科-校园核心,110.7,45.9,64.8
周山-校园核心,95,37.5,57.5
M6000-教育网NAT,90,27.3,62.7
景华-校园核心,37,14.1,22.9
公教-校园核心,27.3,11.2,16.1
2015.10.31-2015.12.30线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普流控,3271.3,2257.8,1013.5
M6000-迪普防火墙,3190.3,982.2,2208.1
菁园-校园核心,1664.7,537.7,1127
嘉园-校园核心,737.8,295.6,442.2
西苑-校园核心,420.4,185.7,234.7
德园-校园核心,307.7,83.1,224.6
西苑核心-西苑北院,204.9,92.4,112.5
M6000-教育网NAT,137.7,50.2,87.5
工科-校园核心,130.4,54.6,75.8
周山-校园核心,114.7,48.6,66.1
景华-校园核心,37.5,14.6,22.9
公教-校园核心,33.9,16,17.9
2016.4.1-2016.5.31线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
